"Datum","Zuletzt","Eröffn.","Hoch","Tief","Vol.","+/- %"
"30.11.2023","16.215,05","16.198,47","16.262,99","16.165,25","31,30M","0,30%"
"29.11.2023","16.166,45","16.013,16","16.208,97","16.010,48","69,37M","1,09%"
"28.11.2023","15.992,67","15.939,19","15.993,42","15.915,40","60,60M","0,16%"
"27.11.2023","15.966,37","16.007,26","16.039,42","15.957,96","50,57M","-0,39%"
"24.11.2023","16.029,49","15.988,19","16.041,17","15.972,67","46,23M","0,22%"
"23.11.2023","15.994,73","15.976,62","16.005,45","15.958,06","38,72M","0,23%"
"22.11.2023","15.957,82","15.965,13","15.998,41","15.931,74","58,76M","0,36%"
"21.11.2023","15.900,53","15.911,02","15.948,07","15.891,31","70,93M","-0,01%"
"20.11.2023","15.901,33","15.915,24","15.929,93","15.854,82","93,61M","-0,11%"
"17.11.2023","15.919,16","15.828,78","15.952,45","15.826,67","81,13M","0,84%"
"16.11.2023","15.786,61","15.806,91","15.862,09","15.783,51","68,44M","0,24%"
"15.11.2023","15.748,17","15.631,67","15.759,84","15.628,19","91,67M","0,86%"
"14.11.2023","15.614,43","15.358,59","15.632,44","15.337,60","98,89M","1,76%"
"13.11.2023","15.345,00","15.285,12","15.346,79","15.252,27","65,17M","0,73%"
"10.11.2023","15.234,39","15.296,58","15.309,52","15.171,58","77,01M","-0,77%"
"09.11.2023","15.352,54","15.246,50","15.364,49","15.212,99","68,38M","0,81%"
"08.11.2023","15.229,60","15.093,48","15.287,73","15.086,41","107,59M","0,51%"
"07.11.2023","15.152,64","15.084,79","15.194,53","15.068,25","62,05M","0,11%"
"06.11.2023","15.135,97","15.219,32","15.223,41","15.110,84","59,21M","-0,35%"
"03.11.2023","15.189,25","15.203,80","15.269,50","15.149,72","93,60M","0,30%"
"02.11.2023","15.143,60","15.033,65","15.202,43","15.028,03","89,45M","1,48%"
"01.11.2023","14.923,27","14.851,96","14.949,58","14.786,32","63,59M","0,76%"
"31.10.2023","14.810,34","14.741,44","14.829,62","14.722,38","75,37M","0,64%"
"30.10.2023","14.716,54","14.770,95","14.798,00","14.678,73","76,18M","0,20%"